0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)","(1, 1.5789473684210527)"
"(1, 0.5263157894736842)","(1, 0.5263157894736842)","(1, 0.5263157894736842)","(1, 0.5263157894736842)","(1, 0.5263157894736842)","(1, 0.5263157894736842)","(1, 0.5263157894736842)","(1, 0.5263157894736842)","(1, 0.5263157894736842)","(1, 0.5263157894736842)","(1, 1.0526315789473684)","(1, 1.0526315789473684)","(1, 1.0526315789473684)","(1, 1.0526315789473684)","(1, 1.0526315789473684)","(1, 1.0526315789473684)","(1, 1.0526315789473684)","(1, 1.0526315789473684)","(1, 1.0526315789473684)","(1, 1.0526315789473684)"
"(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 1.0526315789473684)","(2, 1.0526315789473684)","(2, 1.0526315789473684)","(2, 1.0526315789473684)","(2, 1.0526315789473684)","(2, 1.0526315789473684)","(2, 1.0526315789473684)","(2, 1.0526315789473684)","(2, 1.0526315789473684)"
"(2, 0.0)","(2, 0.0)","(2, 0.0)","(2, 0.0)","(2, 0.0)","(2, 0.0)","(2, 0.0)","(2, 0.0)","(2, 0.0)","(2, 0.0)","(2, 0.0)","(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 0.5263157894736842)","(2, 1.0526315789473684)","(2, 1.0526315789473684)","(2, 1.0526315789473684)","(2, 1.0526315789473684)","(2, 1.0526315789473684)","(2, 1.0526315789473684)"
"(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.5263157894736842)","(3, 0.5263157894736842)","(3, 0.5263157894736842)","(3, 1.0526315789473684)","(3, 1.0526315789473684)","(3, 1.0526315789473684)","(3, 1.0526315789473684)","(3, 1.0526315789473684)","(3, 1.0526315789473684)","(3, 1.0526315789473684)"
"(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.0)","(3, 0.5263157894736842)","(3, 0.5263157894736842)","(3, 0.5263157894736842)","(3, 0.5263157894736842)","(3, 0.5263157894736842)","(3, 1.0526315789473684)","(3, 1.0526315789473684)","(3, 1.0526315789473684)","(3, 1.0526315789473684)","(3, 1.0526315789473684)","(3, 1.0526315789473684)"
"(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 0.0)","(3, 0.0)","(3, 0.0)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 1.0526315789473684)","(4, 1.0526315789473684)","(4, 1.0526315789473684)","(4, 1.0526315789473684)","(4, 1.0526315789473684)","(4, 1.0526315789473684)","(4, 1.0526315789473684)"
"(4, 0.0)","(4, 0.0)","(4, 0.0)","(4, 0.0)","(4, 0.0)","(4, 0.0)","(4, 0.0)","(4, 0.0)","(4, 0.0)","(4, 0.0)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 0.5263157894736842)","(4, 1.0526315789473684)","(4, 1.0526315789473684)","(4, 1.0526315789473684)","(4, 1.0526315789473684)"
"(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.5263157894736842)","(5, 0.5263157894736842)","(5, 0.5263157894736842)","(5, 0.5263157894736842)","(5, 0.5263157894736842)","(5, 0.5263157894736842)","(5, 0.5263157894736842)","(5, 1.0526315789473684)","(5, 1.0526315789473684)","(5, 1.0526315789473684)","(5, 1.0526315789473684)"
"(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.0)","(5, 0.5263157894736842)","(5, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 1.0526315789473684)","(6, 1.0526315789473684)","(6, 1.0526315789473684)"
"(6, 0.0)","(6, 0.0)","(6, 0.0)","(6, 0.0)","(6, 0.0)","(6, 0.0)","(6, 0.0)","(6, 0.0)","(6, 0.0)","(6, 0.0)","(6, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 0.5263157894736842)","(6, 1.0526315789473684)","(6, 1.0526315789473684)"
"(7, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.0)","(6, 0.0)","(6, 0.0)","(6, 0.0)","(6, 0.0)","(6, 0.0)","(7, 0.5263157894736842)","(7, 0.5263157894736842)","(7, 0.5263157894736842)","(7, 0.5263157894736842)","(7, 0.5263157894736842)","(7, 0.5263157894736842)","(7, 0.5263157894736842)","(7, 1.0526315789473684)","(7, 1.0526315789473684)","(7, 1.0526315789473684)"
"(7, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.5263157894736842)","(7, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 1.0526315789473684)","(8, 1.0526315789473684)"
"(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.0)","(7, 0.0)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 0.5263157894736842)","(8, 1.0526315789473684)","(8, 1.0526315789473684)"
"(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)"
"(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(9, 0.0)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)"
"(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)"
"(10, 0.0)","(10, 0.0)","(10, 0.0)","(10, 0.0)","(10, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)"
"(10, 0.0)","(10, 0.0)","(10, 0.0)","(10, 0.0)","(10, 0.0)","(10, 0.0)","(10, 0.0)","(10, 0.0)","(10, 0.0)","(10, 0.0)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)","(11, 0.5263157894736842)"
"(11, 0.0)","(11, 0.0)","(11, 0.0)","(11, 0.0)","(11, 0.0)","(10, 0.0)","(10, 0.0)","(10, 0.0)","(10, 0.0)","(11, 0.0)","(11, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)"
"(11, 0.0)","(11, 0.0)","(11, 0.0)","(11, 0.0)","(11, 0.0)","(11, 0.0)","(11, 0.0)","(11, 0.0)","(11, 0.0)","(11, 0.0)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)","(12, 0.5263157894736842)"
